Date,vf_GARCH,vf_CPGARCH,vf_ICPGARCH,vf_GJR,vf_CPGJR,vf_ICPGJR,vf_RSGARCH,vf_CPRSGARCH,vf_ICPRSGARCH,vf_HAR,vf_CPHAR,vf_ICPHAR,vf_HAR_a,vf_CPHAR_a,vf_ICPHAR_a
18-Aug-2021,4.26638259688356e-05,0.000104159643407878,5.97188616843603e-05,4.94488314143785e-05,6.70347723727029e-05,6.70347723727029e-05,5.62887418393655e-05,6.82205143347618e-05,6.82464214350497e-05,1.08771650646222e-05,1.21814205763912e-05,1.21814205763912e-05,1.01877420442784e-05,1.15058523972296e-05,1.15058523972296e-05
19-Aug-2021,7.93887521592954e-05,0.000104216843276511,9.62074325285498e-05,0.000101542763578478,0.000119040072688546,0.000119040072688546,0.000107096951030695,8.34803517917884e-05,8.40300443203877e-05,2.23192697174086e-05,2.26804732736812e-05,2.26804732736812e-05,2.43062078086937e-05,2.58399895110156e-05,2.58399895110156e-05
20-Aug-2021,6.09593702694088e-05,0.000103951666309789,6.33000383548589e-05,7.52512926345293e-05,7.46204513152818e-05,7.46204513152818e-05,6.89514976968989e-05,6.19323614201694e-05,6.3046906402618e-05,2.63266241805114e-05,2.59429071196388e-05,2.59429071196388e-05,3.26820456669929e-05,3.42664725103128e-05,3.42664725103128e-05
23-Aug-2021,6.33458118919894e-05,0.000104222292895267,6.53533590925906e-05,6.71362957277703e-05,6.43424735179452e-05,6.43424735179452e-05,7.6795972829446e-05,6.99691155449612e-05,7.90944902855393e-05,3.89237100122503e-05,3.59749120821409e-05,3.59749120821409e-05,3.28848800882748e-05,2.97039474737015e-05,2.97039474737015e-05
24-Aug-2021,6.55874958132684e-05,0.000103169241958657,6.79192651068041e-05,6.25733172095519e-05,6.04971999159599e-05,6.04971999159599e-05,8.25945625925998e-05,8.89689267103874e-05,7.51989712347659e-05,2.45347928489532e-05,2.39460052513511e-05,2.39460052513511e-05,2.45943969132564e-05,2.37003050760244e-05,2.37003050760244e-05
25-Aug-2021,5.18995277820807e-05,0.000103426834428891,5.09284152471515e-05,4.922722952488e-05,4.76123813726472e-05,4.76123813726472e-05,6.14456345191874e-05,5.98591880482887e-05,7.20217593449479e-05,1.4635921785783e-05,1.48458980754679e-05,1.48458980754679e-05,1.66886319832652e-05,1.69659443003423e-05,1.69659443003423e-05
26-Aug-2021,4.25072572587231e-05,0.000103138755623077,4.32910490679307e-05,4.0356619121141e-05,4.15263448345608e-05,4.15263448345608e-05,5.13432313624475e-05,5.07150048552547e-05,5.17966058343686e-05,8.25693716147547e-06,8.96906056713398e-06,8.96906056713398e-06,8.05535867807253e-06,8.78448011593723e-06,8.78448011593723e-06
27-Aug-2021,5.0730314593399e-05,0.000103580490315973,5.58315517369588e-05,5.37778364515885e-05,6.01794383936173e-05,6.01794383936173e-05,5.53475063344618e-05,5.37243440468669e-05,5.42490886709975e-05,7.76607092635336e-06,8.78609410502322e-06,8.78609410502322e-06,7.62310642518832e-06,8.66674845606016e-06,8.66674845606016e-06
30-Aug-2021,5.84530807877125e-05,0.000102792582082116,6.4789288971697e-05,5.40856213935052e-05,5.90515592831627e-05,5.90515592831627e-05,7.42239675936668e-05,7.87671121275855e-05,6.834467508821e-05,1.39421144625746e-05,1.50432437724472e-05,1.50432437724472e-05,1.68727665735581e-05,1.97085835984947e-05,1.97085835984947e-05
31-Aug-2021,4.96291089658562e-05,0.000102536689347811,5.25224277121607e-05,4.54674742674862e-05,4.88438969904691e-05,4.88438969904691e-05,6.19170679433204e-05,5.89348570968292e-05,6.21425696204313e-05,1.08862676606896e-05,1.18582391768891e-05,1.18582391768891e-05,1.14658646805433e-05,1.22390277122056e-05,1.22390277122056e-05
01-Sep-2021,4.25878858168628e-05,0.0001027938166661,4.56341739661194e-05,3.90921764086787e-05,4.39765832611078e-05,4.39765832611078e-05,5.04024274258779e-05,7.98358979163343e-05,4.95333684235579e-05,7.76495154318789e-06,8.71407178222129e-06,8.71407178222129e-06,7.87135470880187e-06,8.79286999293151e-06,8.79286999293151e-06
02-Sep-2021,3.61336182453789e-05,0.000101978505619433,4.03710442998996e-05,3.2618441517508e-05,3.91803035357643e-05,3.91803035357643e-05,4.31670919279935e-05,6.28938896457413e-05,6.67307927803183e-05,1.09760403438064e-05,1.15832554340827e-05,1.15832554340827e-05,1.06142894671338e-05,1.15031636601193e-05,1.15031636601193e-05
03-Sep-2021,3.17560698070889e-05,0.00010237298849814,3.83432728506288e-05,3.00892446834323e-05,3.72429259901251e-05,3.72429259901251e-05,4.02647959382429e-05,6.10735821532547e-05,5.84509201982235e-05,9.74195767291329e-06,1.02318428872783e-05,1.02318428872783e-05,8.68132039678668e-06,9.19916683819586e-06,9.19916683819586e-06
07-Sep-2021,2.90834011886867e-05,0.000101495720041763,3.68885565539451e-05,2.69070950603956e-05,3.592041883738e-05,3.592041883738e-05,3.50959079624028e-05,6.05102982575508e-05,5.2515897619612e-05,1.00914333365853e-05,1.04304291226387e-05,1.04304291226387e-05,9.4652737705833e-06,9.80118309832705e-06,9.80118309832705e-06
